company_name,city,state,funding_stage,last_funding_date,estimated_revenue,operating_status,website,full_description,employee_range,contact_email,founder_name,industries
Avoca,New York,New York,Series B,"Apr 27, 2026",,Active,www.avoca.ai,"Avoca AI is a software company that develops an AI-powered communication platform designed for home service industries such as HVAC, plumbing, and electrical services. Its system uses AI agents to handle inbound and outbound interactions, including answering calls, responding to messages, booking appointments, and following up with customers across multiple channels. The platform functions as a front-office solution that automates routine customer service tasks while integrating with existing workflows and customer management systems. It also includes tools for analytics and performance tracking, allowing businesses to monitor call handling, booking rates, and customer interactions in a centralized dashboard. Additionally, the company’s technology supports lead capture, job scheduling, and operational coordination, aiming to ensure that customer inquiries are consistently addressed without reliance on manual processes.",101-250,hello@avoca.ai,Apurva Shrivastava,"Software, Artificial Intelligence (AI), Business Process Automation (BPA)"
Anaconda,Austin,Texas,Series C,"Jul 31, 2025",$100M to $500M,Active,www.anaconda.com,"Anaconda helps organizations simplify, safeguard, and accelerate AI with open source at scale. The Anaconda Platform bridges the gap between experimentation and production, giving teams the speed they need to innovate alongside the security and governance enterprises require. Over 50 million users and 95% of the Fortune 500 trust Anaconda for data science and AI development. With 21+ billion downloads across a decade of growth, Anaconda operates across hybrid AI environments and cloud platforms including AWS, Databricks, and Snowflake. Learn more at anaconda.com.",251-500,info@anaconda.com,Hugo Shi,"Internet Services, Science and Engineering, Software, Analytics, Artificial Intelligence (AI), Big Data, Cloud Infrastructure, Enterprise Software"
XBOW,Seattle,Washington,Series C,"Mar 18, 2026",,Active,xbow.com,"XBOW develops autonomous security testing software that identifies and validates vulnerabilities in web applications and digital systems. Its platform uses artificial intelligence to simulate real-world attack scenarios, enabling continuous testing without manual intervention. The system prioritizes findings based on exploitability and potential impact, helping teams focus on remediation efforts. XBOW integrates with development workflows and security tools to support ongoing monitoring throughout the software lifecycle. It serves organizations that require automated application security testing and risk assessment across their digital environments.",101-250,web@xbow.com.,Oege de Moor,"Hardware, Information Technology, Privacy and Security, Artificial Intelligence (AI), Computer, Network Security"
Fireworks AI,Redwood City,California,Series C,"Oct 28, 2025",$100M to $500M,Active,fireworks.ai,"Fireworks AI provides a cloud-based platform that enables developers and enterprises to run, fine-tune and deploy open-source large language, vision and multimodal models through a low-latency inference engine. The company offers serverless infrastructure that handles model lifecycle management from development to production, and gives users access to a library of pre-optimised models alongside the ability to customise models for their own data and use cases. Through partnerships with leading GPU and cloud hardware providers, Fireworks AI supports high throughput, reduced latency and scalable deployments without requiring customers to provision or manage their own infrastructure. The platform addresses the challenge of converting prototype AI models into operational applications by combining infrastructure optimisation, developer tools and enterprise-grade compliance.",101-250,help@fireworks.ai,Chenyu Zhao,"Science and Engineering, Software, Artificial Intelligence (AI), Data Management, Infrastructure, SaaS"
Delve,San Francisco,California,Series A,"Jul 22, 2025",,Active,www.delve.co,"Delve collects evidence, tracks controls, and manages requirements for frameworks such as SOC 2, ISO 27001, HIPAA, and GDPR within a centralized system. It integrates with business tools and infrastructure to continuously monitor compliance status and identify gaps in security practices. Delve also supports tasks such as completing security questionnaires, generating reports, and managing audit preparation activities. Its system combines automation, analytics, and expert support to help organizations maintain compliance and manage security-related operations.",11-50,founders@getdelve.com,Karun Kaushik,"Science and Engineering, Software, Artificial Intelligence (AI), Compliance, SaaS"
Luma AI,Palo Alto,California,Series C,"Nov 19, 2025",,Active,lumalabs.ai,"Luma AI develops tools that let users generate photorealistic images and videos from text, image, or video prompts via its Dream Machine platform. Its models learn from multimodal data, including video, audio, and language to build “world models” that can reason about motion, context, and physics. It provides access through a web app, iOS app, and API, enabling creative professionals to scale visuals for storytelling, advertising, animation, gaming, and more. For enterprises, Luma offers a secure full-stack solution with data ownership, legal clarity, and customizable AI models.",101-250,hello@lumalabs.ai,Alberto Taiuti,"Media and Entertainment, Science and Engineering, Software, Artificial Intelligence (AI), Foundational AI, Generative AI, Video, Video Editing"
Expo,Palo Alto,California,Series B,"Apr 16, 2026",Less than $1M,Active,expo.dev,"Expo is a software development platform that provides an open-source framework for building native applications across Android, iOS, and the web using JavaScript and React. It offers a full-stack environment that includes development tools, libraries, and cloud-based services to support the entire application lifecycle, from coding to deployment and updates. The platform includes a software development kit (SDK) with pre-built modules that enable access to device features such as cameras, notifications, and deep linking. It also provides building services, submitting, hosting, and updating applications, along with workflows that automate testing and release processes. Additionally, Expo includes monitoring and analytics capabilities that allow developers to track application performance, usage, and errors after deployment.",11-50,support@expo.dev,Charlie Cheever,"Apps, Information Services, Information Technology, Software"
Saviynt,El Segundo,California,Series B,"Dec 9, 2025",$100M to $500M,Active,saviynt.com,"Saviynt provides an identity-security and access-management platform that helps organizations govern and protect all types of identities including human, machine, and AI agents, across their entire digital environment. The company offers modules for identity governance and administration (IGA), privileged access management (PAM), application access governance, non-human and external identity management, and identity security posture management (ISPM). Its AI-powered system supports on-premises, cloud, and hybrid environments and integrates with a wide array of applications and services. Saviynt aims to simplify lifecycle tasks such as onboarding and offboarding, access reviews, policy enforcement, and compliance reporting through automation and intelligent workflows. The platform gives visibility over all identities and access rights, helping enterprises manage risks, streamline access, and maintain consistent identity governance.",1001-5000,sales@saviynt.com,Amit Saha,"Internet Services, Privacy and Security, Science and Engineering, Artificial Intelligence (AI), Cloud Data Services, Cyber Security, Enterprise Software"
Together AI,San Francisco,California,Series B,"Feb 20, 2025",$100M to $500M,Active,www.together.ai,"Together AI is a cloud-based platform designed for constructing open-source generative AI and infrastructure for developing AI models. The company contributes cutting-edge open-source research, models, and datasets to push the boundaries of AI forward. Through its decentralized cloud services, developers and researchers at organizations of various scales are empowered to train, refine, and deploy generative AI models.",101-250,privacy@together.ai,Ce Zhang,"Information Technology, Internet Services, Science and Engineering, AI Infrastructure, Artificial Intelligence (AI), Generative AI, Internet, IT Infrastructure"
Anything,San Francisco,California,Series A,"Sep 29, 2025",$1M to $10M,Active,www.createanything.com,"Anything is an AI app builder that offers a platform that converts prompts into fully functional mobile and web applications. It offers comprehensive solutions, encompassing backend infrastructure, authentication, databases, and payments powered by Stripe. The platform supports seamless deployment and offers a user interface that adapts to varied workflows. It caters to teams and individuals who wish to prototype or launch digital solutions rapidly.",1-10,founders@createanything.com,Dhruv Amin,"Design, Mobile, Science and Engineering, Artificial Intelligence (AI), Developer Tools, Mobile Apps, Software, Web Design"
Emergent,Pleasanton,California,Series B,"Jan 20, 2026",$10M to $50M,Active,app.emergent.sh,"Emergent provides an AI-powered software development platform that turns plain English descriptions into fully functional web and mobile applications without requiring coding skills. Its service uses autonomous AI agents to handle design, backend logic, database integration, authentication, deployment, and scaling, delivering production-ready apps from concept to live product. Users interact with the platform through a conversational interface to describe what they want built, refine requirements, and generate editable code. The platform also supports custom integrations and workflow automation to help product teams and non-technical builders accelerate app creation. Emergent focuses on simplifying the software development lifecycle by automating full-stack generation from natural language prompts.",101-250,support@emergent.sh,Madhav Jha,"Software, Artificial Intelligence (AI), Developer Platform"
OpenFX,New City,New York,Series A,"Mar 31, 2026",,Active,www.openfx.com,"OpenFX is a fintech company that develops cross-border payments and foreign exchange infrastructure for businesses. It provides a real-time settlement network designed to improve international payment processes compared to traditional systems. The platform includes FX liquidity, treasury management, and embedded financial services delivered through APIs to support business operations. Its technology focuses on connecting domestic payment networks and improving transaction routing across regions. The company also works on expanding its infrastructure, including solutions that incorporate digital asset technologies.",101-250,hello@openfx.com,Prabhakar Reddy,"Software, Embedded Software, Finance, Financial Exchanges, Foreign Exchange Trading, Trading Platform"
Orkes,Cupertino,California,Series B,"Apr 23, 2026",$1M to $10M,Active,orkes.io,"Orkes provides a cloud-based platform for orchestrating workflows across microservices, APIs, and distributed systems, enabling developers to manage complex application processes and integrations. Its platform is built on the open-source Conductor project and delivers a managed service that supports workflow execution, event-driven architectures, and long-running processes. The system includes capabilities such as workflow modeling, state management, monitoring, and access control, which help track executions and maintain operational reliability. It also supports integration with various programming languages, cloud environments, and external services, allowing teams to define workflows as code and coordinate business logic across systems. Additionally, the platform incorporates features for observability and governance, offering visibility into workflows and tools to manage performance, errors, and system behavior in production environments.",11-50,,Boney Sekh,"Internet Services, Science and Engineering, Software, Apps, Artificial Intelligence (AI), Cloud Computing, Open Source"
Doctronic,New York,New York,Series B,"Mar 23, 2026",,Active,www.doctronic.ai,"Doctronic offers an AI-powered medical assistant platform that supports clinical documentation and workflow management for healthcare professionals. Its system processes medical conversations and notes to generate structured records such as patient histories, assessments, and treatment plans. The platform integrates with existing electronic health record systems to assist with data entry and retrieval during patient encounters. Doctronic also applies natural language processing to interpret clinical language and organize information into standardized formats. Its tools are used to reduce manual documentation tasks and support consistent record-keeping across healthcare settings.",101-250,hello@doctronic.ai,Adam Oskowitz,"Science and Engineering, Software, Artificial Intelligence (AI), Chatbot, Generative AI, Health Care, Health Diagnostics"
Cents,New York,New York,Series C,"Mar 26, 2026",$10M to $50M,Active,trycents.com,"Cents helps laundromats and garment care businesses manage operations, payments, and customer interactions. Its system includes point-of-sale tools, digital payment processing, and business management features that support order tracking and reporting. The platform also offers customer-facing applications for scheduling services, placing orders, and making payments. Cents integrates hardware and software components to support both self-service and full-service laundry operations. It enables business owners to monitor performance, manage workflows, and handle transactions within a single system.",101-250,hello@trycents.com,Alexander Jekowsky,"Business Process Automation (BPA), Enterprise Software, Point of Sale, SaaS"
Nala,Hoboken,New Jersey,Series A,"Jul 9, 2024",$10M to $50M,Active,www.nala.com/,"Nala is a FinTech company developing a mobile payments application to simplify money transfers and transactions without data connectivity. Their services include financial inclusion, digital financial services, mobile money, and fintech.",51-100,mamanala@nala.money,Benjamin Fernandes,"Software, Finance, Financial Services, FinTech, Mobile Payments"
Citadel,Miami,Florida,Seed,"Feb 12, 2026",$10M to $50M,Active,www.citadel.com,"Our ambition at Citadel is to be the most successful investment firm of all time. Together, we've turned ambition into action. For more than three decades, Citadel has captured undiscovered market opportunities in markets around the world by empowering extraordinary people to pursue their best and boldest ideas. We strive to identify the highest and best uses of capital to generate superior long-term returns for the world’s preeminent public and private institutions.",1001-5000,,Kenneth Griffin,"Finance, Financial Services, Hedge Funds, Impact Investing, Wealth Management"
Ray Therapeutics,San Diego,California,Series B,"Apr 21, 2026",,Active,raytherapeutics.com,"Ray Therapeutics is a biotechnology company that develops gene therapies aimed at restoring vision in individuals with retinal degeneration. Its approach is based on optogenetics, a technology that modifies surviving retinal neurons to respond to light and transmit visual signals to the brain. The company is advancing a pipeline of bioengineered therapies targeting conditions such as retinitis pigmentosa, Stargardt’s disease, and geographic atrophy, with programs at various stages from discovery to clinical development. Its work centers on translating gene therapy research into treatments that address inherited retinal diseases and other degenerative eye conditions. The organization is led by a team with experience in biotechnology, ophthalmology, and gene therapy development, supporting research, clinical operations, and program management activities.",11-50,,Paul Bresge,"Biotechnology, Health Care, Therapeutics"
Figure,San Jose,California,Series C,"Sep 16, 2025",,Active,www.figure.ai,"Figure is an AI robotics company that develops autonomous general-purpose humanoid robots to address labor shortages and reduce the number of workers in unsafe jobs. It also develops commercially viable autonomous humanoid robots that lend support across manufacturing, logistics, warehousing, and retail.",251-500,privacy@figure.ai,Brett Adcock,"Manufacturing, Science and Engineering, Software, Artificial Intelligence (AI), Hardware, Industrial Automation, Robotics"
Rork,San Francisco,California,Seed,"Apr 9, 2026",,Active,rork.com,"Rork is an AI-powered platform that lets you build complete, cross-platform mobile apps in minutes by simply describing what you want. It uses AI and React Native to generate fully functional apps-examples include visual novel games, Airbnb-style apps, meditation timers, and more. You can export these apps, use them on your phone, and even share them via QR codes or links.",51-100,team@rork.com,Daniel Dhawan,"Mobile, Science and Engineering, Software, Artificial Intelligence (AI), Developer Tools, Mobile Apps"
Qualified Health,San Carlos,California,Series B,"Mar 25, 2026",,Active,www.qualifiedhealthai.com,"Qualified Health develops artificial intelligence tools that support clinical decision-making and patient care management. The company builds software that analyzes medical data, including imaging and electronic health records, to assist in diagnosis and treatment planning. Its platforms integrate into healthcare workflows to provide insights that help clinicians identify conditions and assess risk. Qualified Health also focuses on improving efficiency by automating data interpretation and reducing manual review processes. The company works with healthcare providers and organizations to implement AI-driven solutions in clinical environments.",51-100,privacy@qualifiedhealthai.com,Beau Norgeot,"Science and Engineering, Software, Artificial Intelligence (AI), Health Care, Medical"
